Author  Notes,Format,Title,title_href,Year,Cause
Ian Livingstone  part of the Fighting Fantasy Gamebook series Like a Choose Your Own Adventure book,Novel,Freeway Fighter,/wiki/Freeway_Fighter,1985,War
David Brin  the 1997 movie of the same name,Novel,The Postman,/wiki/The_Postman,1985,War
Christopher Anvil,Novel,The Steel the Mist and the Blazing Sun,"/w/index.php?title=The_Steel,_the_Mist_and_the_Blazing_Sun&action=edit&redlink=1",1985,War
James Morrow,Novel,This is the Way the World Ends,/wiki/This_is_the_Way_the_World_Ends,1985,War
84,Film,City Limits,/wiki/City_Limits_(1985_film),1985,Disease
Greg Bear,Novel,Blood Music,/wiki/Blood_Music_(novel),1985,Disease
Alan E Nourse  Follows the progression of a new outbreak of Black Plague and the struggle to survive as society collapses,Novel,The Fourth Horseman,,1985,Disease
Larry Niven Jerry Pournelle  Baby elephantlike invaders hurl asteroids at earth humans revolt,Novel,Footfall,/wiki/Footfall,1985,Aliens
Margaret Atwood  Dystopia is fueled by rampant infertility caused by pollution,Novel,The Handmaids Tale,/wiki/The_Handmaid%27s_Tale,1985,Eco
,Film,Starchaser The Legend of Orin,/wiki/Starchaser:_The_Legend_of_Orin,1985,Technology
Thomas J Ryan,Novel,The Adolescence of P1,/wiki/The_Adolescence_of_P-1,1985,Technology
GamebookAnd its source books supplements and sequels was the first roleplaying game from Palladium Books conceived and written by Kevin Siembieda,Game,The Mechanoid Invasion,/wiki/The_Mechanoid_Invasion,1985,Technology
Based on the 1981 novel The Quiet Earth by Craig Harrison,Film,The Quiet Earth,/wiki/The_Quiet_Earth_(film),1985,Sun
In Colorado 900 years after a nuclear war in the USA humanity is back to the stone ages86,Film,America 300085,"/wiki/America_3000,#cite_note-85",1986,War
Animated Japanese film,Film,Fist of the North Starcitation needed,"/wiki/Fist_of_the_North_Star_(1986_film),/wiki/Wikipedia:Citation_needed",1986,War
,Film,Robot Holocaust13,"/wiki/Robot_Holocaust,#cite_note-books.google.co.uk-13",1986,War
,Film,The Sacrifice87,"/wiki/The_Sacrifice,#cite_note-HttpbooksgooglecoukbooksidVXkqzmaBICpgPAdqTheSacrifice-87",1986,War
Jimmy Murakami  adapting the graphic novel by Raymond Briggs,Film,When the Wind Blows,/wiki/When_the_Wind_Blows_(1986_film),1986,War
,Film,Whoops Apocalypse,/wiki/Whoops_Apocalypse#Movie,1986,War
James Axler  Novel series,Novel,Deathlands,/wiki/Deathlands,1986,War
Series by David L Robbins  first book 1986,Novel,Endworld,/wiki/Endworld,1986,War
Konstantin Lopushanskij,Film,Dead Mans Letters,/wiki/Dead_Man%27s_Letters,1986,Disease
Stephen King  Aliens remotely control machines trucks cars and even vending machines to kill the human population before invading Based on the Stephen King short story Trucks,Story,Maximum Overdrive,/wiki/Maximum_Overdrive,1986,Aliens
Also known as Solarwarriors,Film,Solarbabies,/wiki/Solarbabies,1986,Eco
Whitley Strieber and James Kunetka,Novel,Natures End,/w/index.php?title=Nature%27s_End&action=edit&redlink=1,1986,Eco
Stephen King  1986 short story The End of the Whole Mess a distillate of a Texas aquifer originally harvested and distributed worldwide to reduce human propensity for violencecurses humanity with premature Alzheimers disease and senility,Story,The End of the Whole Mess,/wiki/The_End_of_the_Whole_Mess,1986,Eco
Johji Manabe  manga,Comic,Outlanders,/wiki/Outlanders_(manga),19861989,Aliens
,Film,Cherry 2000citation needed,"/wiki/Cherry_2000,/wiki/Wikipedia:Citation_needed",1987,War
,Film,Creepozoids88,"/wiki/Creepozoids,#cite_note-88",1987,War
,Film,Death Runcitation needed,"/wiki/Death_Run,/wiki/Wikipedia:Citation_needed",1987,War
,Film,Hell Comes to Frogtowncitation needed,"/wiki/Hell_Comes_to_Frogtown,/wiki/Wikipedia:Citation_needed",1987,War
90,Film,Steel Dawn89,"/wiki/Steel_Dawn,#cite_note-89",1987,War
The Soviet Union blames the US for a nuclear explosion and in the ensuing chaos the protagonist must defend his family Based on the Jerry Ahern pulp novel series91,Film,The Survivalist,,1987,War
92,Film,Survivor,/w/index.php?title=Survivor_(1987_film)&action=edit&redlink=1,1987,War
Three technicians working in an underground laboratory discover that a nuclear war has destroyed most of the above ground world,Film,Urban Warriors,,1987,War
,Television,Knights of God,/wiki/Knights_of_God,1987,War
Series by Scott Siegel  first book 1987 coauthor Barbera Siegel Grade 810,Novel,Fire Brats,/wiki/Fire_Brats,1987,War
Series by Isobelle Carmody  first book 1987,Novel,Obernewtyn Chronicles,/wiki/Obernewtyn_Chronicles,1987,War
Robert R McCammon,Novel,Swan Song,/wiki/Swan_Song_(novel),1987,War
Game from SNK,Game,Crystalis,/wiki/Crystalis,1987,War
Greg Bear,Novel,The Forge of God,/wiki/The_Forge_of_God,1987,Aliens
David Gemmell  The world is devastated by huge tsunamis Most of the technology left in the world is on par with the mid to late 1800s but there are some newer weapons around,Novel,Wolf In Shadow,/wiki/Wolf_in_Shadow_(novel),1987,Eco
Helloween,Song,Twilight of The Gods,/wiki/Keeper_of_the_Seven_Keys_Part_1,1987,Technology
Paul Auster,Novel,In the Country of Last Things,/wiki/In_the_Country_of_Last_Things,1987,Unspecified
After a war against the machines in which the humans lost a small group of resistance fighters must keep humanity alive against the evil forces of Lord Dread,Television,Captain Power and the Soldiers of the Future,/wiki/Captain_Power_and_the_Soldiers_of_the_Future,19871988,Technology
Groundbreaking anime movie based on the manga of the same name,Film,Akira,/wiki/Akira_(film),1988,War
,Film,Miracle Milecitation needed,"/wiki/Miracle_Mile_(film),/wiki/Wikipedia:Citation_needed",1988,War
,Film,SheWolves of the Wastelandcitation needed,"/wiki/She-Wolves_of_the_Wasteland,/wiki/Wikipedia:Citation_needed",1988,War
9394,Film,World Gone Wild,/wiki/World_Gone_Wild,1988,War
Series by Joe Dever  first book 1988,Novel,Freeway Warrior,/wiki/Freeway_Warrior,1988,War
Sheri S Tepper,Novel,The Gate to Womens Country,/wiki/The_Gate_to_Women%27s_Country,1988,War
William Brinkley,Novel,The Last Ship,/wiki/The_Last_Ship,1988,War
Mitch Berman,Novel,Time Capsule95,"/w/index.php?title=Time_Capsule_(novel)&action=edit&redlink=1,#cite_note-95",1988,War
Part science fiction thriller and part black comedy,Film,They Live,/wiki/They_Live,1988,Aliens
The computer game,Game,Manhunter,/wiki/Manhunter_(game),1988,Aliens
PCPostApocalyptic RPG main story features a rogue AI that not only caused a nuclear war between the United States and Soviet Union but also is attempting to eradicate any humans that survived,Game,Wasteland,/wiki/Wasteland_(video_game),1988,Technology
Robert Silverberg,Novel,At Winters End,/w/index.php?title=At_Winter%27s_End&action=edit&redlink=1,1988,Human Decline
Miniature wargamingMiniature wargame by Games Workshop  A roleplaying game franchise composed of the game and associated novels and shortstory anthologies set within the Dark Future universe,Game,Dark Future,/wiki/Dark_Future,1988,Social Collapse
Pat Cadigan  A novel set in a cyberpunk world following a vaguely described natural cataclysm,Novel,Tea from an Empty Cup,/wiki/Tea_from_an_Empty_Cup,1988,Unspecified
The second season of this television spinoff from the 1953 movie was set after a successful alien invasion,Television,War of the Worlds The Second Invasion,/wiki/War_of_the_Worlds_(TV_series),19881990,Aliens
Australian film written and directed by David Webb Peoples,Film,The Blood of Heroes13,"/wiki/The_Blood_of_Heroes,#cite_note-books.google.co.uk-13",1989,War
,Film,Cyborg96,"/wiki/Cyborg_(film),#cite_note-96",1989,War
,Film,Empire of Ash IIcitation needed,"/wiki/Empire_of_Ash_II,/wiki/Wikipedia:Citation_needed",1989,War
,Film,Empire of Ash IIIcitation needed,"/wiki/Empire_of_Ash_III,/wiki/Wikipedia:Citation_needed",1989,War
Orson Scott Card  novella West plus several short stories,Novel,Folk of the Fringe,/w/index.php?title=Folk_of_the_Fringe&action=edit&redlink=1,1989,War
Game by Atari Games,Game,Badlands,/wiki/Badlands_(video_game),1989,War
Jean Ure  Sequels Come Lucky April and Watchers at the Shrine,Novel,Plague 99,/wiki/Plague_99,1989,Disease
,Film,Millennium,/wiki/Millennium_(film),1989,Eco
,Film,Slipstream,/wiki/Slipstream_(1989_film),1989,Eco
Ben Elton,Novel,Stark,/wiki/Stark_(novel),1989,Eco
,Film,Gunhed,/wiki/Gunhed_(film),1989,Technology
,Film,Moontrap,/wiki/Moontrap,1989,Technology
Al Sarrantonio  About a worldwide uprising of werewolves,Novel,Moonbane,/w/index.php?title=Moonbane&action=edit&redlink=1,1989,Monsters
Mark E Rogers  Combines themes of the rapture and zombies,Novel,The Dead,,1989,Supernatural
,Film,The Handmaids Tale97,"/wiki/The_Handmaid%27s_Tale_(film),#cite_note-97",1990,War
,Film,Hardware13,"/wiki/Hardware_(film),#cite_note-books.google.co.uk-13",1990,War
,Film,Robot Jox,/wiki/Robot_Jox,1990,War
Australian childrens drama in which a girl from the 31st century after the Northern Hemisphere has been destroyed in the Great Disaster later revealed to be a nuclear holocaust becomes stranded in the 20th century In the sequel Tomorrows End 1993 she and her friends fight to prevent history from being changed in such a way that the Southern Hemisphere is destroyed as well,Television,The Girl from Tomorrow,/wiki/The_Girl_from_Tomorrow,1990,War
Isaac Asimov Robert Silverberg extension written by Silverberg of the Asimov story of the same name,Novel,Nightfall,/wiki/Nightfall_(Asimov),1990,War
Game,Game,Mad Max,/wiki/Mad_Max_(1990_video_game),1990,War
A nuclear exchange triggers the return of Ley Lines and Interdimensional Rifts or portals These Ley Lines and Portals subsequently cause several natural and supernatural disasters,Game,Rifts,/wiki/Rifts_(role-playing_game),1990,War
A mysterious plague has swept over the entire world causing everyone to suffer from amnesia leading to the collapse of civilization Based on a novel by Hideyuki Kikuchi,Film,A Wind Named Amnesia,/wiki/A_Wind_Named_Amnesia,1990,Disease
ITV show about 3 people who lived after everyone else in England was turned to dust by a chemical that was accidentally released by a television presenter,Television,Not with a Bang,/wiki/Not_with_a_Bang,1990,Disease
Pat Murphy  In the wake of a devastating worldwide plague a handful of artists transform the City of San Francisco and fend off marauders with a touch of magic,Novel,The City Not Long After,"/wiki/The_City,_Not_Long_After",1990,Disease
M K Wren,Novel,A Gift Upon the Shore,/wiki/A_Gift_Upon_the_Shore,1990,Disease
Also known as Dark Angel directed by Craig R Baxley,Film,I Come in Peace,/wiki/I_Come_in_Peace,1990,Aliens
Celia S Friedman,Novel,The Madness Season,/w/index.php?title=The_Madness_Season&action=edit&redlink=1,1990,Aliens
Taking place in the year 2037 the loss of the ozone layer has left most of the planet a desolate wasteland scattered with highly radioactive Death Zones,Film,Mindwarp,/wiki/Mindwarp_(film),1990,Eco
After an environmental holocaust a lone cop battles a gang of rampaging marauders,Film,Omega Cop,/wiki/Omega_Cop,1990,Eco
Gordon R Dickson  A man and a wolf band together to survive in an America devastated by financial collapse,Novel,Wolf and Iron,,1990,Social Collapse
,Television,Bucky OHare,/wiki/Bucky_O%27Hare,19901991,Technology
Environment disaster The Captain Planet twoparter Two Futures in which the character Wheeler gets a glimpse of what could happen if damage to the environment was allowed to continue unchecked,Television,Captain Planet,/wiki/Captain_Planet,19901992,Eco
Donald E McQuinn  trilogy Warrior Wanderer  Witch set in the Pacific Northwest generations after World War III,Novel,Gan Moondark,/w/index.php?title=Gan_Moondark&action=edit&redlink=1,19901994,War
JeanPierre Jeunet and Marc Caro,Film,Delicatessen98,"/wiki/Delicatessen_(film),#cite_note-98",1991,War
Wang Lixiong  in the Chinese under the pseudonym Bao Mi about a nuclear civil war in the Peoples Republic of China,Novel,Yellow Peril,/wiki/Yellow_Peril_(novel),1991,War
Game from Psygnosis,Game,ArmourGeddon,/wiki/Armour-Geddon,1991,War
Larry Niven Jerry Pournelle and Michael Flynn  Spacebased civilization exists despite the governments wishes during an ice age,Novel,Fallen Angels,/wiki/Fallen_Angels_(science_fiction_novel),1991,Eco
A Dungeons and Dragons campaign setting by TSR Inc  focusing on a world that has been turned into an inhospitable desert by overuse of magic that destroyed the surrounding vegetation,Game,Dark Sun,/wiki/Dark_Sun,1991,Eco
,Film,The Rapture,/wiki/The_Rapture_(film),1991,Supernatural
Shortlived sitcom about the survivors of a nuclear war,Television,woops,/wiki/Woops!,1992,War
Game Mad Max inspired driving game from 199293 for Snes and Genesis,Game,Outlander,/wiki/Outlander_(video_game),1992,War
P D James,Novel,The Children of Men,/wiki/The_Children_of_Men,1992,Disease
,Film,American Cyborg Steel Warrior,/wiki/American_Cyborg:_Steel_Warrior,1992,Technology
Al Sarrantonio  The galaxy passes through a cloud in space which causes all previously expired creatures on Earth to return to life as bloodthirsty skeletons shrouded in ghostly mirages of their former selves,Novel,Skeletons,/w/index.php?title=Skeletons_(novel)&action=edit&redlink=1,1992,Monsters
,Film,Cyborg 2citation needed,"/wiki/Cyborg_2,/wiki/Wikipedia:Citation_needed",1993,War
Sequel to Robot Jox,Film,Robot Warscitation needed,"/wiki/Robot_Wars_(film),/wiki/Wikipedia:Citation_needed",1993,War
Connie Willis,Novel,Doomsday Book,/wiki/Doomsday_Book_(novel),1993,Disease
Another film based on the novel The Body Snatchers by Jack Finney,Film,Body Snatchers,/wiki/Body_Snatchers_(1993_film),1993,Aliens
The computer game,Game,XCOM UFO Defense and subsequent followups,"/wiki/X-COM:_UFO_Defense,/wiki/X-COM_(series)#The_series",1993,Aliens
Octavia E Butler,Novel,Parable of the Sower,/wiki/Parable_of_the_Sower_(novel),1993,
One mans quest for revenge in a world where toxic waste has driven the remains of civilization into the Arctic Circle,Film,The Last Border  Viimeisell Rajalla,http://www.imdb.com/title/tt0107364/,1993,Eco
Starhawk,Novel,The Fifth Sacred Thing,/wiki/The_Fifth_Sacred_Thing,1993,Eco
Norman Spinrad  The results of global warming,Novel,Deus X,/w/index.php?title=Deus_X&action=edit&redlink=1,1993,Eco
Ben Elton  The Earths population is forced to live in Biodomes for 50 years while the environment recovers from humanitys actions,Novel,This Other Eden,/wiki/This_Other_Eden_(novel),1993,Eco
Takes place long after a time of environmental collapse that destroyed the worlds older advanced civilizations,Game,Secret of Mana,/wiki/Secret_of_Mana,1993,Eco
Warwick Collins,Novel,Computer One,/wiki/Computer_One,1993,Technology
Roger Williams,Novel,The Metamorphosis of Prime Intellect,/wiki/The_Metamorphosis_of_Prime_Intellect,1993,Technology
Multia Japanese scrolling shooter arcade game,Game,RayForce,/wiki/RayForce,1993,Technology
Animated TV series In which dinosaurs reclaim the earth Based upon the comic series Xenozoic Tales,Television,Cadillacs and Dinosaurs,/wiki/Cadillacs_and_Dinosaurs_(TV_series),1993,Monsters
A video game series created by Capcom,Game,Mega Man X series,/wiki/Mega_Man_X_series,1993present,Technology
A computer game series created by id Software  about a demonic invasion of human colonies on the moons of Mars The sequel to the original game Doom II Hell on Earth sees the demons invading Earth itself,Game,Doom series,/wiki/Doom_(video_game),1993present,Supernatural
Made for TV movie that was designed to be a pilot for a post Apocalyptic spinoff from the original Knight Rider,Television,Knight Rider 2010,/wiki/Knight_Rider_2010,1994,War
miniseries,Television,The Stand,/wiki/Stephen_King%27s_The_Stand,1994,Disease
,Television,Highlander The Animated Series,/wiki/Highlander:_The_Animated_Series,1994,Impact Event
Super Nintendo A game were a comet passes next to Earth which is a malicious being whose light turns humans into monsters The story takes place in an altered reality where to approaching comet already changed timeline and reality,Game,Illusion of Gaia,/wiki/Illusion_of_Gaia,1994,Impact Event
console Named Final Fantasy III during initial American launch of the game features a plot twist in where villain Kefka moves magical statues out of their intended alignment which in turn causes the balanced fictional world to fall into ruin and for Kefka to become its new god while protected by the powers of the same statues,Game,Final Fantasy VI,/wiki/Final_Fantasy_VI,1994,Eco
And sequels from Sierra Entertainment,Game,Earthsiege,/wiki/Metaltech:_Earthsiege,1994,Technology
MultiDeveloped by Mirage Studios A fighting game,Game,Rise of the Robots,/wiki/Rise_of_the_Robots,1994,Technology
Looking Glass Technologies  incorporates elements from Alien invasion theory,Game,System Shock,/wiki/System_Shock,1994,Technology
Michaela Roessner  Life in Silicon Valley 30 years after the mysterious and spontaneous disappearance of 90 of the worlds population The Winchester Mystery House The House serves as a focal point for parallel universes and inexplicable energies that are changing the world and its postVanishing children,Novel,Vanishing Point,/wiki/Vanishing_Point,1994,Unspecified
The Japanese manga series set in a peaceful postcataclysmic Japan after an untold environmental disaster,Comic,Yokohama Kaidashi Kiko,/wiki/Yokohama_Kaidashi_Kiko,19942006,Eco
Liveaction martial arts film,Film,Fist of the North Starcitation needed,"/wiki/Fist_of_the_North_Star_(1995_film),/wiki/Wikipedia:Citation_needed",1995,War
,Film,Judge Dredd10,"/wiki/Judge_Dredd_(film),#cite_note-ReferenceA-10",1995,War
Directed by Terry Gilliam  Based on La jete see above,Film,Twelve Monkeys99,"/wiki/Twelve_Monkeys,#cite_note-ReferenceB-99",1995,Disease
Loosely based on the comic by Jamie Hewlett,Film,Tank Girl,/wiki/Tank_Girl_(film),1995,Impact Event
The console game where modern civilization is at risk of being destroyed by an alien parasite in 1999 AD,Game,Chrono Trigger,/wiki/Chrono_Trigger,1995,Aliens
Global Warming has caused all landmasses on Earth to be covered by the sea The remnants of humanity survive on atolls mechanical floating cities that are constantly attacked by pirates with steamdriven ships Some humans have evolved to become amphibious to live among the old wreckage beneath the waves Many people live in hope of finding the mythical Dryland the place safe from the seas which turns out to be the Himalayan Mountains,Film,Waterworld99,"/wiki/Waterworld,#cite_note-ReferenceB-99",1995,Eco
John Barnes  A tactical nuclear strike in the North Pacific releases massive amounts of methane spawning worldwide super hurricanes,Novel,Mother of Storms,/wiki/Mother_of_Storms,1995,Eco
Kevin J Anderson and Doug Beason  A microbe consumes all materials based on petroleum,Novel,Ill Wind,/w/index.php?title=Ill_Wind_(novel)&action=edit&redlink=1,1995,Eco
,Film,Screamers,/wiki/Screamers_(1995_film),1995,Technology
Comics great Droid Revolution,Comic,Tales of the Jedi Dark Lords of the Sith,/wiki/Tales_of_the_Jedi:_Dark_Lords_of_the_Sith,1995,Technology
A subplot involves humanity fighting a race of cyborgs called Silicates,Television,Space Above and Beyond,/wiki/Space:_Above_and_Beyond,1995,Technology
From Cyberdreams,Game,I Have No Mouth and I Must Scream,"/wiki/I_Have_No_Mouth,_and_I_Must_Scream_(video_game)",1995,Technology
A vertical shootemup scroller game with two layers for Nintendos Virtual Boy video game system,Game,Vertical Force,/wiki/Vertical_Force,1995,Technology
Nintendo,Game,Red Alarm,/wiki/Red_Alarm,1995,Technology
Humanitys unearthing of a being known as Adam brings about Second Impact a catastrophic shockwave which destroys Antarctica and subsequently leads to the extinction of thousands of organisms the destruction of much of the civilized world and the deaths of billions Millions more die from the social and economic troubles which follow this impact and the ensuing wars,Television,Neon Genesis Evangelion,/wiki/Neon_Genesis_Evangelion,1995,Supernatural
Paul Meier  Also 1996s The Fourth Millennium,Novel,The Third Millennium,,1995,Supernatural
The third installment of the Mortal Kombat series Supernatural warlord Shao Kahn has taken over the realm of Earth taking the souls of much of the populace Extermination squads roam the land in search of the few surviving Kombatants that oppose him,Game,Mortal Kombat 3,/wiki/Mortal_Kombat_3,1995,Supernatural
A radioactive selfreplicating alien crystal known as Tiberium crashes on Earth in 1995 and gradually renders most of the Earths surface uninhabitable over the next several decades,Game,Command  Conquer Tiberian series,/wiki/Command_%26_Conquer:_Tiberian_series,1995present,Eco
The sequel to Escape From New York the film is set in an America that has become a theocratic dictatorship Central to the plot is Los Angeles Island the remains of what was once the city of Los Angeles after The Big One where those who break the governments new laws are deported to,Film,Escape from LA13,"/wiki/Escape_from_L.A.,#cite_note-books.google.co.uk-13",1996,Eco
A late21st century Earth is devastated by nuclear conflict,Film,Star Trek First Contactcitation needed,"/wiki/Star_Trek:_First_Contact,/wiki/Wikipedia:Citation_needed",1996,War
Eric L Harry  limited nuclear war between the United States and Russia,Novel,Arc Light,/wiki/Arc_Light_(novel),1996,War
A fleet of alien warships appear over several Earth cities and lay waste to them,Film,Independence Day,/wiki/Independence_Day_(1996_film),1996,Aliens
Based on the trading card series Mars Attacks 1962,Film,Mars Attacks,/wiki/Mars_Attacks!,1996,Aliens
Charles Pellegrino and George Zebrowski  Aliens conduct a preemptive strike against humanity with relativistic missiles,Novel,The Killing Star,/wiki/The_Killing_Star,1996,Aliens
Kevin J Anderson  Edited by Kevin J Anderson is an anthology of short stories set during the events of The War of the Worlds by H G Wells,Story,War of the Worlds Global Dispatches,/wiki/War_of_the_Worlds:_Global_Dispatches,1996,Aliens
,Film,Omega Doom,/wiki/Omega_Doom,1996,Technology
Kevin J Anderson,Novel,Therefore I Am The Tale of IG88,/w/index.php?title=Therefore_I_Am:_The_Tale_of_IG-88&action=edit&redlink=1,1996,Technology
The The House of the Dead series of Sega video games Scientist Dr Curien finds a way to reanimate the dead though not without disastrous results Later in the series timeline Caleb Goldman uses the undead in his mission to destroy the human race and protect the Earth from further destruction by humans,Game,The House of the Dead,/wiki/The_House_of_the_Dead_(series),1996,Human Decline
The 1996 episode Resurrection and the 1999 episode The Human Operators,Television,The Outer Limits,/wiki/The_Outer_Limits_(1995_TV_series),1996 1999,Technology
In the series backstory a brutal war sees multiple space colonies dropped on Earth rendering much of the world uninhabitable,Television,After War Gundam X,/wiki/After_War_Gundam_X,19961997,Impact Event
MultiVideo game series,Game,Resident Evil,/wiki/Resident_Evil,1996present,Disease
Partly based on the David Brin Novel,Film,The Postman13,"/wiki/The_Postman_(film),#cite_note-books.google.co.uk-13",1997,War
A mining accident unleashes a virus from within the colonized moon Io Races are held to determine the winner of the last seat in the last shuttle leaving,Game,POD Planet of Death,/wiki/Planet_of_Death,1997,Disease
LeVar Burton  American civilization crumbles after a civil war pitting blacks against whites and a devastating earthquake,Novel,Aftermath,/wiki/Aftermath_(LeVar_Burton_novel),1997,War
Set in an unspecified postapocalyptic region on an Earth shrouded by an impact winter and plagued by a dangerous mutagenic substance called Archessence  the game centres on a technologically regressed medievallike society,Game,Dark Earth,/wiki/Dark_Earth_(video_game),1997,Impact Event
Game from Activision,Game,Interstate 76,/wiki/Interstate_%2776,1997,War
Game,Game,KKnD series,/wiki/KKnD_series,1997,War
,Television,Asteroid,/wiki/Asteroid_(film),1997,Impact Event
Stephen Baxter about a manned mission to Titan while China directs an asteroid to hit Earth,Novel,Titan,/wiki/Titan_(book),1997,Impact Event
Robert Silverberg,Novel,The Alien Years,/wiki/The_Alien_Years,1997,Aliens
Turn based strategy game on PC,Game,Spellcross,/wiki/Spellcross,1997,Aliens
PC game The Chosen a group consisting of a corporate and governmentdetermined human elect depart a heavily polluted Earth via a fleet of starships returning as a force to reoccupy Earth fighting against the titular 7th Legion a coalition of the most advanced postapocalypse humans on Earth,Game,7th Legion,/wiki/7th_Legion,1997,Eco
A setting for the GURPS role playing system where machines have taken over the world after a war with humanity that the humans lost,Game,GURPS Reign of Steel,/wiki/GURPS_Reign_of_Steel,1997,Technology
All humankind are reverted to a primordial soup and merged into a single consummate being,Film,The End of Evangelion,/wiki/The_End_of_Evangelion,1997,Human Decline
Features a deleted scene restored to the film in the Alien Quadrilogy box set in which Ripley and the other survivors land the Auriga in a devastated Paris The cause of the destruction is never made clear,Film,Alien Resurrection,/wiki/Alien_Resurrection,1997,Unspecified
A nuclear war in 2077 devastates much of the US Players start out in underground shelters called Vaults,Game,Fallout series,/wiki/Fallout_series,1997present,War
,Film,SixString Samurai100,"/wiki/Six-String_Samurai,#cite_note-100",1998,War
Vehicular combat game from The 3DO Company Nearly all women around the world are killed in a nuclear war and few female survivors are prized by men,Game,BattleTanx,/wiki/BattleTanx,1998,War
Activision,Game,Vigilante 8,/wiki/Vigilante_8,1998,War
Gary Paulsen,Novel,The Transall Saga,/wiki/The_Transall_Saga,1998,Disease
Jack McDevitt,Novel,Moonfall,/w/index.php?title=Moonfall&action=edit&redlink=1,1998,Impact Event
Directed by Robert Rodriguez  Six students are about to find out their teachers really are from another planet,Film,The Faculty,/wiki/The_Faculty,1998,Aliens
The computer game and its sequel,Game,HalfLife,/wiki/Half-Life_(video_game),1998,Aliens
The OVA where a combination of a nuclear missile and amorphous alien Invaders results in a war with the fate of humanity at stake,Other,Getter Robo Armageddon,/wiki/Getter_Robo_Armageddon,1998,Aliens
Charles Sheffield  Alpha Centauri goes supernova and causes cataclysmic climate change,Novel,Aftermath,/w/index.php?title=Aftermath_(Charles_Sheffield_novel)&action=edit&redlink=1,1998,Eco
Charles Pellegrino  All the insect species on Earth die out and the ecology crashes as a result,Novel,Dust,/w/index.php?title=Dust_(novel)&action=edit&redlink=1,1998,Eco
MultiA prequel to RayForce,Game,RayCrisis,/wiki/RayCrisis,1998,Technology
Is the sequel to KKnD as part of its plot Series 9 are advanced farming robots that have taken it unto themselves to destroy all life,Game,KKND2 Krossfire,/wiki/KKND2:_Krossfire,1998,Technology
Fear Factory,Other,Obsolete album,/wiki/Obsolete_(album),1998,Technology
PlayStation game set in a world with two nations fight with weapons found in ancient ruins Also human fossils are all recent in the planet,Game,Xenogears,/wiki/Xenogears,1998,Future Collapse
Also the series of films made in the 1990s and 2000s by Cloud Ten Pictures,Film,Apocalypse,/wiki/Apocalypse_(film),1998,Supernatural
Manga by Hiroki Endo,Comic,Eden Its an Endless World,/wiki/Eden:_It%27s_an_Endless_World,1998 to present,Disease
Disaster The 19981999 anime series in which a man made disaster has caused Earths moon to fragment resulting in a constant rain of meteor strikes on the planet and forcing humanity to move out into the solar system,Television,Cowboy Bebop,/wiki/Cowboy_Bebop,19981999,Eco
An Anime series that takes place 10 billion years into the future where humanity lusts for power and children are forced into military duty,Television,Now and Then Here and There,"/wiki/Now_and_Then,_Here_and_There",1999,War
Brendan DuBois  set ten years after the Cuban Missile Crisis which escalated into nuclear war,Novel,Resurrection Day,/wiki/Resurrection_Day,1999,War
Game from The 3DO Company  sequel to BattleTanx,Game,BattleTanx Global Assault,/wiki/BattleTanx:_Global_Assault,1999,War
,Game,Warzone 2100,/wiki/Warzone_2100,1999,War
A spinoff from the TV show Babylon 5,Television,Crusade,/wiki/Crusade_(TV_series),1999,Disease
Video game,Game,Abomination The Nemesis Project,/wiki/Abomination:_The_Nemesis_Project,1999,Disease
Cruel Earth in Canada British TV six part drama,Television,The Last Train101,"/wiki/The_Last_Train_(TV_series),#cite_note-101",1999,Impact Event
,Television,Thunderstone,/wiki/Thunderstone_(TV_series),1999,Impact Event
The 1999 console game where in alternate time lines modern civilization was destroyed by an alien parasite in 1999 AD,Game,Chrono Cross,/wiki/Chrono_Cross,1999,Aliens
Walter Jon Williams,Novel,The Rift,/wiki/The_Rift_(novel),1999,Eco
Sequel to System Shock,Game,System Shock 2,/wiki/System_Shock_2,1999,Technology
PlayStationDeveloped by Polygon Magic,Game,Galerians,/wiki/Galerians,1999,Technology
PCDeveloped by Outrage Entertainment which explains that mostly mining robots attacked by an unknown virus and now attacking people,Game,Descent 3,/wiki/Descent_3,1999,Technology
The Japanese manga and anime where humans apparently suffered mass amnesia 40 years prior and are afraid to leave their city Paradigm  It is a sort of mechaapocalypse subclass of its own the protagonist has to battle mechanical beings and other robots who are trying to destroy the remnants of the human race,Television,The Big O,/wiki/The_Big_O,1999,Human Decline
PCDeveloper Relic Entertainment  A small human civilization on the desert planet of Kharak on the edge of the galaxy is brought to the brink of extinction for violating a forgotten 5000year old treaty forbidding them from developing hyperspace technology The survivors however are fortunate to have the use of the recently completed Mothership  a large colony vessel meant to take them back to their ancient and forgotten homeworld near the center of the galaxy Hiigara  The game was succeeded by sequels Homeworld Cataclysm and Homeworld 2,Game,Homeworld,/wiki/Homeworld,1999,Future Collapse
Game A ship leaves Earth on the eve of World War III to found a new colony orbiting Alpha Centauri,Game,Sid Meiers Alpha Centauri,/wiki/Sid_Meier%27s_Alpha_Centauri,19992000,War
The New Zealand TV series that takes place in a nearfuture in which all the adults have been killed by a manmade Virus and the children have to survive on their own,Television,The Tribe,/wiki/The_Tribe_(TV_series),19992003,Disease
